,Date,State,TotalSamples,Negative,Positive,month
0,17/04/2020,Andaman and Nicobar Islands,1403,1210,12,April
1,24/04/2020,Andaman and Nicobar Islands,2679,,27,April
2,27/04/2020,Andaman and Nicobar Islands,2848,,33,April
3,1/05/2020,Andaman and Nicobar Islands,3754,,33,May
4,16/05/2020,Andaman and Nicobar Islands,6677,,33,May
5,19/05/2020,Andaman and Nicobar Islands,6965,,33,May
6,20/05/2020,Andaman and Nicobar Islands,7082,,33,May
7,21/05/2020,Andaman and Nicobar Islands,7167,,33,May
8,22/05/2020,Andaman and Nicobar Islands,7263,,33,May
9,23/05/2020,Andaman and Nicobar Islands,7327,,33,May
10,24/05/2020,Andaman and Nicobar Islands,7327,,33,May
11,25/05/2020,Andaman and Nicobar Islands,7363,,33,May
12,26/05/2020,Andaman and Nicobar Islands,7448,,33,May
13,27/05/2020,Andaman and Nicobar Islands,7499,,33,May
14,28/05/2020,Andaman and Nicobar Islands,7519,,33,May
15,29/05/2020,Andaman and Nicobar Islands,7567,,33,May
16,30/05/2020,Andaman and Nicobar Islands,7567,,33,May
17,31/05/2020,Andaman and Nicobar Islands,7706,,33,May
18,1/06/2020,Andaman and Nicobar Islands,7805,,33,June
19,2/06/2020,Andaman and Nicobar Islands,8086,,33,June
20,3/06/2020,Andaman and Nicobar Islands,8295,,33,June
21,4/06/2020,Andaman and Nicobar Islands,8413,,33,June
22,5/06/2020,Andaman and Nicobar Islands,8694,,33,June
23,6/06/2020,Andaman and Nicobar Islands,9037,,33,June
24,7/06/2020,Andaman and Nicobar Islands,9242,,33,June
25,8/06/2020,Andaman and Nicobar Islands,9341,,33,June
26,9/06/2020,Andaman and Nicobar Islands,9859,,33,June
27,10/06/2020,Andaman and Nicobar Islands,10010,,35,June
28,11/06/2020,Andaman and Nicobar Islands,10226,,38,June
29,12/06/2020,Andaman and Nicobar Islands,10697,,38,June
30,13/06/2020,Andaman and Nicobar Islands,10955,,38,June
31,14/06/2020,Andaman and Nicobar Islands,11356,,38,June
32,15/06/2020,Andaman and Nicobar Islands,11518,,41,June
33,16/06/2020,Andaman and Nicobar Islands,11809,,44,June
34,17/06/2020,Andaman and Nicobar Islands,12239,,44,June
35,18/06/2020,Andaman and Nicobar Islands,12622,,45,June
36,19/06/2020,Andaman and Nicobar Islands,12930,,47,June
37,20/06/2020,Andaman and Nicobar Islands,13320,,47,June
38,21/06/2020,Andaman and Nicobar Islands,13434,,48,June
39,22/06/2020,Andaman and Nicobar Islands,13511,,48,June
40,23/06/2020,Andaman and Nicobar Islands,13723,,50,June
41,24/06/2020,Andaman and Nicobar Islands,13994,,56,June
42,25/06/2020,Andaman and Nicobar Islands,14277,,59,June
43,26/06/2020,Andaman and Nicobar Islands,14583,,72,June
44,27/06/2020,Andaman and Nicobar Islands,14851,,73,June
45,28/06/2020,Andaman and Nicobar Islands,15094,,83,June
46,29/06/2020,Andaman and Nicobar Islands,15410,,90,June
47,30/06/2020,Andaman and Nicobar Islands,15709,,97,June
48,1/07/2020,Andaman and Nicobar Islands,15982,,100,July
49,2/07/2020,Andaman and Nicobar Islands,16278,,109,July
50,3/07/2020,Andaman and Nicobar Islands,16626,,116,July
51,4/07/2020,Andaman and Nicobar Islands,16832,,119,July
52,5/07/2020,Andaman and Nicobar Islands,16909,,125,July
53,6/07/2020,Andaman and Nicobar Islands,17095,,141,July
54,7/07/2020,Andaman and Nicobar Islands,17381,,147,July
55,8/07/2020,Andaman and Nicobar Islands,17643,,149,July
56,9/07/2020,Andaman and Nicobar Islands,17852,,151,July
57,10/07/2020,Andaman and Nicobar Islands,18046,,156,July
58,11/07/2020,Andaman and Nicobar Islands,18315,,163,July
59,12/07/2020,Andaman and Nicobar Islands,18447,,163,July
60,13/07/2020,Andaman and Nicobar Islands,18609,,166,July
61,14/07/2020,Andaman and Nicobar Islands,18884,,171,July
62,15/07/2020,Andaman and Nicobar Islands,19061,,176,July
63,16/07/2020,Andaman and Nicobar Islands,19227,,180,July
64,17/07/2020,Andaman and Nicobar Islands,19421,,194,July
65,18/07/2020,Andaman and Nicobar Islands,19671,,198,July
66,19/07/2020,Andaman and Nicobar Islands,19904,,203,July
67,20/07/2020,Andaman and Nicobar Islands,20301,,207,July
68,21/07/2020,Andaman and Nicobar Islands,20642,,212,July
69,22/07/2020,Andaman and Nicobar Islands,21043,,221,July
70,23/07/2020,Andaman and Nicobar Islands,21310,,240,July
71,24/07/2020,Andaman and Nicobar Islands,21743,,259,July
72,25/07/2020,Andaman and Nicobar Islands,21965,,290,July
73,26/07/2020,Andaman and Nicobar Islands,22049,,324,July
74,27/07/2020,Andaman and Nicobar Islands,22548,,338,July
75,28/07/2020,Andaman and Nicobar Islands,22925,,363,July
76,29/07/2020,Andaman and Nicobar Islands,23217,,428,July
77,30/07/2020,Andaman and Nicobar Islands,23615,,471,July
78,31/07/2020,Andaman and Nicobar Islands,24038,,548,July
79,1/08/2020,Andaman and Nicobar Islands,24308,,636,August
80,2/08/2020,Andaman and Nicobar Islands,24580,,734,August
81,3/08/2020,Andaman and Nicobar Islands,25034,,830,August
82,4/08/2020,Andaman and Nicobar Islands,25492,,928,August
83,5/08/2020,Andaman and Nicobar Islands,25826,,1027,August
84,6/08/2020,Andaman and Nicobar Islands,26516,,1123,August
85,7/08/2020,Andaman and Nicobar Islands,26915,,1222,August
86,8/08/2020,Andaman and Nicobar Islands,27073,,1351,August
87,9/08/2020,Andaman and Nicobar Islands,27103,,1490,August
88,10/08/2020,Andaman and Nicobar Islands,27346,,1625,August
